,mean,se_mean,std,se_std
0,274.29453000000024,3.96,112.90965000000007,2.68
1,370.15136000000024,3.3,96.59590999999993,2.68
2,435.5581099999996,3.87,112.89148999999996,3.35
3,371.00326,4.07,115.52456000000004,2.55
4,387.3509299999998,5.48,152.44185,2.73
5,452.36353999999994,2.34,64.9513,5.41
6,490.4465300000004,1.74,49.94807999999996,8.16
7,470.21013999999934,2.72,80.89762000000006,4.85
8,495.00517999999727,1.71,48.94673999999985,8.61
9,489.2749399999992,1.74,50.856650000000016,7.95
10,457.95216999999997,3.68,108.38125000000005,4.48
11,495.08313999999655,1.67,48.54956999999991,8.64
12,444.0497000000009,3.55,100.48194999999997,3.71
13,494.98090999999727,1.8,48.95557999999994,9.2
14,449.13319000000024,3.35,93.33277000000005,4.0
15,495.011919999997,1.75,48.84952999999993,8.95
